,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,Reference
215,AB5,La1Mn0.1Ni4.9,1.4,29.0,35.0,1.5,97.4811127358683,1.026151847754291,0.0258157355582112,1.0141915861411614,
216,AB5,La1Ni4.9Sn0.1,1.3,32.0,35.0,2.1,110.01411482657836,1.381284549463043,0.3230138991570149,0.9546833186584327,
217,AB5,La1Al0.5Cu0.5Ni4,1.4,40.0,22.0,0.09,115.50426701936418,0.106040949075376,-2.243929947437502,0.9835447170103673,
218,AB5,LaCrNi4,0.54,34.0,25.0,0.04,87.27431336992765,0.0399999999999999,-3.218875824868201,0.3821306214271351,
219,AB5,LaCuNi4,1.0,33.9,60.0,4.0,113.28183752033384,0.9508163007857522,-0.0504343993585076,0.7302273228314895,
220,AB5,LaFeNi4,0.8,34.5,40.0,0.11,91.81921005817172,0.0564762248597669,-2.873935528332639,0.5727354150665642,
221,AB5,La1Fe0.5Cu0.5Ni4,1.3,36.1,22.0,0.48,116.20835305720983,0.5565796227216516,-0.5859450408342316,0.9437953665508758,
222,AB5,La0.8Ce0.2Co0.5Ni4.25Sn0.25,1.2,38.2,25.0,0.8,126.26817683934529,0.7999999999999999,-0.2231435513142098,0.8991602072087271,
223,AB5,La0.8Ce0.2Ni4.8Sn0.25,1.2,32.4,25.0,1.1,109.46255647286092,1.0999999999999994,0.0953101798043243,0.8973351130528165,
224,AB5,La0.13Ce0.35Pr0.52Co5,0.8,40.0,50.0,3.6,134.43141326695616,1.033101700090644,0.0325656364925106,0.5800854776039,
225,AB5,La0.1Ce0.9Co5,0.6,41.0,20.0,0.84,138.41053807722963,1.113771093217642,0.1077516385394955,0.43381411684392074,
226,AB5,La0.2Ce0.8Co5,0.6,44.0,20.0,0.72,147.36257358544185,0.974571677007968,-0.0257572101401325,0.43369329967902664,
227,AB5,La0.2Pr0.8Co5,0.7,38.0,20.0,0.23,117.40735139633644,0.2987307014373159,-1.2082127755222989,0.5072232350993994,
228,AB5,La0.4Ce0.6Co5,0.6,38.0,20.0,0.65,126.0448734310094,0.8442389388445866,-0.1693197215558136,0.4334516653492383,
229,AB5,La0.4Pr0.6Co5,0.9,29.0,20.0,17.0,122.4812510025284,20.754250003502484,3.032751045149971,0.6528589943419346,
230,AB5,La0.65Ce0.28Pr0.07Co5,1.0,47.0,50.0,1.1,146.2357165777929,0.2537203847619883,-1.3715224657348997,0.7249254215434772,
231,AB5,La0.66Ce0.2Pr0.14Co5,1.0,41.0,50.0,0.9,126.00007966798456,0.2503393379093142,-1.3849379298516185,0.7249977556651169,
232,AB5,La0.6Pr0.4Co5,0.9,43.0,20.0,0.17,131.95025478201646,0.2285293580041021,-1.476090595482518,0.6522576957498439,
233,AB5,La0.75Ce0.25Al0.2Cu0.8Ni4,1.4,33.5,22.0,0.7,110.53615715595468,0.8030712592646667,-0.2193118276716968,1.0100077243914805,
234,AB5,La0.75Ce0.25Al0.1Cu0.9Ni4,1.4,32.9,22.0,1.0,111.46874470608168,1.144425633880071,0.1349028813488191,1.0185918985237774,
235,AB5,La0.75Ce0.25Ti0.1Cu0.9Ni4,1.4,38.4,22.0,1.1,130.89576127533743,1.2875809360998318,0.2527652145701198,1.0234951414713394,
236,AB5,La0.75Pr0.25Al0.2Cu0.3Ni4.5,1.4,34.2,22.0,0.8,114.01803380500472,0.9204338343832104,-0.082910160975923,1.004776178348734,
237,AB5,La0.7Ce0.3Co5,0.7,42.0,20.0,0.17,128.53903185859843,0.2269623337546353,-1.482971205865059,0.5057795820745216,
238,AB5,La0.8Ce0.2Co5,0.8,34.0,20.0,0.18,101.7244726121072,0.2274425329119312,-1.480857675085456,0.5784550891257041,
239,AB5,La0.8Pr0.2Co5,0.9,38.0,20.0,0.11,111.2748365049152,0.1428712050352379,-1.945811718653079,0.6516563971577533,
240,AB5,LaCo5,1.0,42.3,30.0,0.06,116.14373968948333,0.0452813657035284,-3.094859684245045,0.7241252555315056,
241,AB5,LaCu5,0.8,42.7,101.0,5.0,127.50647349974084,0.1511396406113853,-1.8895510972448095,0.6088862620541048,
242,AB5,LaCu3Ni2,0.9,32.0,35.0,1.1,104.63795376367224,0.7235300020996887,-0.3236132657680383,0.6711148401085965,
243,AB5,LaFe(CuNi)2,1.1,36.9,22.0,0.55,120.05066379302107,0.639842930856706,-0.4465325532853645,0.8077479874519182,
244,AB5,La1Al0.98Ni3.92,1.1,42.0,250.0,5.0,93.66402435805068,0.0034216798452779,-5.6776236656686025,0.7395176243405738,
245,AB5,La1Cr0.5Cu1.5Ni3,1.1,35.5,22.0,0.62,116.3033591780973,0.7171488193043364,-0.3324719016152477,0.802366026289181,
246,AB5,LaCu2Ni3,1.1,33.0,35.0,1.8,111.97765436998831,1.168559579429725,0.1557718616556201,0.8129862298109897,
247,AB5,LaNi5,1.8,30.1,-40.0,0.1,109.95737826905172,2.952549886648882,1.0826691653560814,1.3104102111822327,
248,AB5,La1Mn0.05Al0.05Ni5.2,0.8,26.8,20.0,1.3,93.60211255830438,1.5632463033157789,0.4467646227196493,0.5691883381234812,
249,AB5,La1Mn0.1Al0.05Ni5.5,1.0,26.0,20.0,1.6,92.59948091299528,1.9134339343158413,0.6488994991918613,0.7060732209160466,
250,AB5,La1Mn0.33Ni6.37,0.8,23.2,20.0,2.0,84.90330769287574,2.3461538820103947,0.8527773414349481,0.5516321697575657,
251,AB5,LaCo4Ni,1.0,45.0,40.0,0.15,127.92814451202764,0.0628705575085989,-2.766677308985338,0.7237247641761532,
252,AB5,NdCo5,0.62,42.7,22.0,0.7,141.70674838075564,0.8339446667955244,-0.1815882255923908,0.45274575466436884,
253,AB5,Nd1Ni4.6Sn0.4,1.0,26.4,20.0,1.4,92.85376885259078,1.6788689971482624,0.5181203507203541,0.7711300171022393,
254,AB5,Nd1Ni4.8Sn0.2,1.1,25.7,20.0,6.5,103.23089004714971,7.757296340313645,2.0486338637329515,0.8270264443267475,
255,AB5,Nd1Ni4.9Sn0.1,1.2,27.9,20.0,10.0,114.31717813754574,12.11632991713809,2.4945541226670023,0.8910711474198316,
256,AB5,NdNi5,1.33,27.8,30.0,18.0,115.73478737234002,14.9603081240774,2.7054005688634635,0.9755290502573111,
257,AB5,PrCo5,0.8,40.0,20.0,0.49,130.5180125462764,0.6452448172487181,-0.4381254725757367,0.5808020046616316,
258,AB5,Pr1Cu2.5Ni2.5,0.8,19.3,23.0,25.0,91.93192293748996,26.34967783217333,3.2714560484296418,0.5953796376301417,
259,AB5,Pr1Fe0.5Ni4.5,1.26,20.5,23.0,6.0,84.11865132053069,6.3446309114337724,1.8476089294876143,0.9134900791641346,
260,AB5,PrNi5,1.4,29.0,20.0,10.0,118.0695233533056,12.20838235500148,2.502122794087802,1.0197737068965516,
261,AB5,SmCo5,0.64,34.9,20.0,3.2,128.72230080099297,4.068539590773718,1.4032841121564403,0.4739603036150942,
262,AB5,Tb1Al0.5Ni4.5,1.1,26.9,20.0,10.0,110.90595521412772,12.033248325518882,2.487673512284461,0.8027958021537175,
263,AB5,TbAlNi4,0.9,33.7,20.0,0.9,114.082228439687,1.1348676704608287,0.1265160542338814,0.6316979130628033,
264,AB5,YCo5,0.73,32.2,31.0,28.0,133.573292847688,21.670527556379056,3.075953160262503,0.46637982445462994,
265,AB5,Y1Al0.75Ni4.25,1.1,24.3,21.0,6.0,97.50788591650972,6.855586067549382,1.9250638042612385,0.6594494621808813,
266,AB5,Y1Al0.5Ni4.5,1.1,22.4,20.0,20.0,101.3183879283236,23.332749837935754,3.14985794612296,0.6740290872046213,
267,AB5,YAlNi4,1.0,40.8,60.0,3.0,131.60139429371606,0.5323000262815881,-0.6305479894297874,0.5856531395302229,
268,Mg,MgNi,2.0,40.0,25.0,0.004,88.25435340382856,0.004,-5.521460917862246,0.8402008422416587,
269,Mg,CeMg2,3.1,101.0,216.0,0.1,187.33657108952008,1.2318107996230849e-08,-18.212195462368893,1.9965852812860039,
270,Mg,Mg1.7Al0.3Ni1,2.7,76.2,312.0,4.5,142.72815836363262,1.274473238843983e-06,-13.572977610726928,0.9920199087872559,
271,Mg,Mg1.92Al0.08Ni1,3.5,70.5,295.0,4.0,135.61282060829086,5.3987169923949404e-06,-12.129349226624909,1.2895500274419498,
272,Mg,Mg1.9Ti0.1Ni1,2.9,62.5,300.0,2.5,116.66468426153077,1.3935264202478542e-05,-11.18108793757762,1.0830378598401253,
273,Mg,CeMg12,3.8,65.0,341.0,9.0,124.10541065034344,1.2439084859010978e-05,-11.294667037747418,1.3015568400183786,
274,Mg,Mg14(TiAl4)3,3.8,73.0,337.0,4.2,131.57423173051248,1.2115342494134165e-06,-13.623623026834853,1.0913722409981033,
275,Mg,Mg2.23Ni1,3.9,67.3,323.0,4.9,126.10420509374272,6.2551716441971705e-06,-11.982101973303248,1.4071723560446692,
276,Mg,Mg2.42Ni1,3.9,63.1,301.0,3.2,119.57221443389652,1.5519305728861422e-05,-11.07342577817491,1.3833591631698043,
277,Mg,Mg2Al3,2.6,63.2,335.0,11.0,123.85821239978308,2.4959378786843582e-05,-10.59826090312038,0.6861779299077605,
278,Mg,Mg2Co,4.5,76.0,450.0,16.0,128.14750507687023,2.391896410698509e-07,-15.24600912237186,1.6757540981052104,
279,Mg,Mg0.9Sc0.1,6.2,79.5,375.0,8.0,139.94560001789583,2.408941302418809e-07,-15.238908293575612,1.7291789927911465,
280,Mg,La0.125Mg0.708Al0.167,4.2,67.0,300.0,4.5,129.40298386631488,1.0498139186116615e-05,-11.464312536876028,1.6995929321590122,
281,Mg,Nd0.05Mg0.7Ni0.25,3.4,69.0,300.0,3.0,129.52137040619948,4.75224337277101e-06,-12.25689376240665,1.358248196621644,
282,Mg,La0.1Mg0.8Al0.1,4.8,76.0,302.0,5.5,146.31298857854267,2.1263070635160563e-06,-13.061123855963984,1.8023559853941578,
283,Mg,Nd0.05Mg0.8Ni0.15,4.9,76.0,300.0,1.6,136.50822577475336,6.538362933463781e-07,-14.24040883280762,1.812571343030728,
284,Mg,La0.1Mg0.85Al0.05,6.2,77.0,300.0,4.5,146.8504234545553,1.51530605335675e-06,-13.399893123988312,2.3540145611864154,
285,Mg,La0.075Mg0.9Al0.025,5.1,68.0,308.0,5.0,130.39050066210325,7.897633379175433e-06,-11.748947415628304,1.7576086612317476,
286,Mg,Mg1.5Ni1,2.6,29.1,300.0,3.7,61.64973628926955,0.0132440525847517,-4.324206688846568,1.0079215964277568,
287,Mg,Mg1.75Ni1,2.8,26.6,300.0,4.5,58.91532792982357,0.0261327237896275,-3.6445669649424,1.0519510953152929,
288,Mg,Mg2Cu,2.6,72.9,295.0,6.0,143.20815854330155,5.111635561228959e-06,-12.18399113426976,0.9900454135567074,
289,Mg,Mg2Al0.125Cu1,2.8,63.0,330.0,11.0,124.38811151141692,2.883720038474618e-05,-10.453844324297442,1.0565038164151805,
290,Mg,Mg2Al0.25Cu1,3.0,72.0,330.0,3.0,128.50732747365242,1.25410284192373e-06,-13.58909010801282,1.1225159987349422,
291,Mg,Mg2Al0.375Cu1,3.2,76.0,330.0,3.0,135.13917693066975,5.545695695278184e-07,-14.405073574495098,1.1881593906841381,
292,Mg,Mg2Fe,5.5,77.2,450.0,25.0,133.51741376985478,2.811925428921335e-07,-15.084226196237305,2.0103807984098987,
293,Mg,Mg2Fe0.37Ni0.63,3.7,82.0,320.0,1.7,142.65669098058922,1.2174312337312905e-07,-15.921352558113728,1.3499587941672577,
294,Mg,Mg2Al0.25Ni0.75,3.5,90.0,327.0,2.0,155.72544524223397,2.3254508732240697e-08,-17.576766799746526,1.1918949655776243,
295,Mg,Mg2V0.25Ni0.75,2.9,62.4,250.0,1.0,119.277453885119,1.9866185603029388e-05,-10.826491487466871,1.0406270348710487,
296,Mg,Mg2Zn0.25Ni0.75,3.3,61.5,246.0,1.0,118.46287200231149,2.5896633495352544e-05,-10.561397578581447,1.2298769102608298,
297,Mg,Mg2Al0.15Ni0.85,3.4,84.0,327.0,3.0,149.0990459951536,1.1791433787941733e-07,-15.9533074262846,1.193552034674981,
298,Mg,Mg2Mn0.25Ni0.75,3.2,58.0,250.0,1.0,110.86686418809136,4.262434298046004e-05,-10.06308503642754,1.162759207333071,
299,Mg,Mg2Zr0.3Ni0.7,3.5,59.8,340.0,10.0,116.67321131005444,4.145695790970749e-05,-10.09085482775122,1.40403209556707,
300,MIC,CeCo3,1.0,38.1,79.0,0.3,98.18251026480957,0.0284145156368702,-3.560855150414929,0.7939403584455667,
301,MIC,CeAlPt,0.3,24.0,22.0,1.2,82.83043621614104,1.3240973122902642,0.2807309535225775,0.36038824668449787,
302,MIC,Dy2Co7,1.1,35.8,50.0,2.0,116.54740128811338,0.65433072052403,-0.424142366467805,0.9042206795696222,
303,MIC,DyCo3,1.4,42.7,50.0,0.3,122.12675725895436,0.0791345375993989,-2.536605867400935,1.1948514797441963,
304,MIC,DyFe3,1.0,47.1,150.0,0.4,103.68985995688968,0.0014602600766074,-6.529140724463328,0.8268072590989257,
305,MIC,Er2Co7,1.3,29.6,50.0,8.0,108.8871365581356,3.176084240253319,1.1556490670423654,1.0846085916964632,
306,MIC,Er6Fe23,0.8,50.4,0.0,2.0,148.0,,-2.530914829497336,0.6312097767360558,
307,MIC,ErCo3,1.3,39.8,50.0,0.2,109.7814952746614,0.0577539068746844,-2.8515642803588066,1.1239269242714818,
308,MIC,ErFe3,0.8,42.9,150.0,1.15,102.54449149031858,0.0069252638006514,-4.9725791336774,0.6696308563748079,
309,MIC,ErNi3,1.5,23.8,-40.0,1.2,103.59605628835796,17.44467119185957,2.859034226187078,1.2967548948513417,
310,MIC,Gd2Co7,0.9,40.0,100.0,6.0,122.0924709060105,0.234213493489148,-1.4515222142384705,0.727812580085852,
311,MIC,Gd3(AlNi3)2,1.0,33.6,300.0,5.6,72.94675242999641,0.0083894176161718,-4.78078417495617,0.7997302363461454,
312,MIC,GdCo3,1.4,45.0,150.0,3.0,115.4793048829308,0.0140661616958384,-4.263983245652756,1.1763634810964614,
313,MIC,GdFe3,1.0,50.4,150.0,0.18,104.8495929677547,0.0004434589026188,-7.720905426531298,0.8136549021965688,
314,MIC,Ho2Co7,1.1,36.7,50.0,5.0,126.9506724493058,1.5905185270431377,0.4640600807045353,0.9101798637526014,
315,MIC,Ho6Fe23,0.8,51.7,0.0,0.3,138.0,,-4.258115543975452,0.6273551631442342,
316,MIC,HoCo3,1.2,36.0,100.0,6.0,111.37292112710124,0.3239409457869936,-1.127194045891816,1.0294061626421824,
317,MIC,HoFe3,1.0,44.6,150.0,0.63,101.55854009299443,0.0030981086144711,-5.7769634780567936,0.8328957231040565,
318,MIC,Ca0.5La0.5Ni3,1.6,43.5,20.0,0.6,144.14111171142036,0.8093538448075364,-0.2115190721253602,1.0709927692282875,
319,MIC,Ca1.5La0.5Mg1Ni9,1.9,35.4,20.0,0.7,117.7918392937761,0.8930601560321649,-0.1131013363967005,1.0921961181934263,
320,MIC,Ca1La1Mg1Al0.3Ni6,1.9,30.0,20.0,0.4,94.71850086751328,0.4917069252333798,-0.7098724203978577,1.1643094651793362,
321,MIC,CaLaMg(AlNi2)3,1.8,30.0,20.0,0.4,94.71850086751328,0.4917069252333798,-0.7098724203978577,0.9643728266535739,
322,MIC,Ca1La1Mg1Mn0.3Ni6,1.8,32.3,20.0,1.0,110.18250042640284,1.248875710966134,0.2222437153561474,1.1183059344311277,
323,MIC,CaLaMg(MnNi2)3,1.8,32.3,20.0,1.3,112.36383863710364,1.6235384242559734,0.484607979823638,1.0914663420739987,
324,MIC,CaLaMgNi9,1.8,33.0,20.0,2.5,120.1885433078236,3.1372633474265217,1.1433508744980816,1.1085386207690817,
325,MIC,La(MgCu)2,2.4,64.2,170.0,0.4,137.25375268883516,8.351376601376987e-05,-9.390499077255424,1.534970091725215,
326,MIC,Lu6Fe23,0.6,39.7,0.0,2.0,151.10432338559397,8.66205582415345,2.158952087490376,0.4820047130071068,
327,MIC,LuCo3,1.0,32.0,20.0,5.9,123.91636961228092,7.353172723549895,1.9951318831530584,0.8812494613796696,
328,MIC,Mg51Zn20,3.6,80.9,330.0,8.0,151.4179628769067,5.442679980505492e-07,-14.423824067924151,1.3294158102139815,
329,MIC,Mg6Pd,0.9,80.3,160.0,0.014,149.89549142498555,5.773045636273515e-07,-14.36489586978804,0.3246694742478222,
330,MIC,Nd2Co7,1.2,56.7,125.0,0.9,141.532655880313,0.0028791213463615,-5.85027011945202,0.9385327166741639,
331,MIC,NdCo3,1.3,54.5,20.0,0.29,175.61976510846344,0.4219446687904328,-0.8628810901530082,1.0487379095402936,
332,MIC,Pr2Co7,1.1,54.6,150.0,2.0,134.79519393409322,0.0029870507953589,-5.81346873441604,0.8512758860472249,
333,MIC,PrCo3,1.3,54.2,100.0,0.02,112.72471822543338,0.0002468648131067,-8.306669686525282,1.0378456780909762,
334,MIC,SmCo3,0.6,59.4,69.0,0.2,160.22694393283453,0.0091776007387456,-4.690989465944655,0.4897833204584651,
335,MIC,Tb2Co7,1.1,40.4,50.0,2.0,130.78227673295325,0.5668249741358496,-0.5677047104993005,0.8954555796076061,
336,MIC,TbCo3,1.4,46.9,75.0,0.6,130.46496394672792,0.039635255198489,-3.2280362739982413,1.18226326557922,
337,MIC,TbFe3,1.1,48.0,150.0,0.23,101.21583245108027,0.0007542566424001,-7.189777873334532,0.9005468511764328,
338,MIC,ThAlNi,0.9,47.0,40.0,0.007,108.8342479963457,0.0028227337570827,-5.870049446208477,0.9541618573110373,
339,MIC,Ti3Al,2.9,47.0,50.0,0.8,143.58804162313015,0.1845239161905367,-1.6899761968534357,1.2635511222782108,
340,MIC,Y2Co7,1.3,38.0,20.0,0.25,118.10059935073154,0.3247072841709952,-1.1248311665832489,0.8570938118155064,
341,MIC,Y4.3Sc0.7Si2.6Ge0.4,0.5,39.4,426.0,1.5,59.72524569586402,0.0001647958569468,-8.710803080690287,0.3214501284946558,
342,MIC,Y5Si3,0.4,53.3,398.0,0.3,69.40590655813183,1.9380150530445334e-06,-13.153846277217024,0.26334791049117107,
343,MIC,YCo3,1.5,44.0,75.0,0.45,119.74338652801497,0.0351650288440742,-3.347703188972975,1.0035405902525982,
344,MIC,Zr2Ni5,0.5,35.0,60.0,0.8,103.202530814528,0.181501415012724,-1.7064918290942663,0.3389360350505361,
345,MIC,Zr3V3O,1.2,152.0,700.0,0.1,137.0497450532133,3.377889185397852e-20,-44.83445084682977,0.7616842587237325,
346,MIC,Zr7Ni10,1.4,47.0,60.0,0.25,129.55172093681765,0.0341081407578893,-3.3782191912816786,1.0154433308144082,
347,MIC,Ca1.03La0.65Mg1.32Ni9,,26.8,10.0,2.0,100.41241494427248,3.546232034133789,1.2658856409691313,,
348,MIC,Ca1.5Y0.5Mg1Ni9,2.0,25.8,-10.0,2.0,103.80587715781576,7.984086909413285,2.0774504243974725,1.1086740177221681,
349,MIC,CaNi3,2.0,35.0,20.0,0.4,111.7746154846035,0.5089174947062393,-0.6754693684851413,1.0940951976028508,
350,MIC,CaMgTiNi9,1.9,33.4,20.0,1.1,114.72726963137444,1.3842002922816712,0.3251225665812684,1.0255470170002534,
351,MIC,Ce2Co7,0.9,43.3,100.0,0.9,115.16314227719188,0.0268842964478483,-3.6162129380103374,0.6935078053673538,
352,SS,Co0.05Pd0.95,0.6,38.2,81.0,0.6,103.61681402035786,0.0524667422946458,-2.9475757902198407,0.6230577497724442,
353,SS,Cr0.05Pd0.95,0.6,29.6,30.0,0.26,86.44164714059995,0.2135207227832241,-1.5440213888071836,0.6209806757209927,
354,SS,Ni0.025Pd0.95Rh0.025,0.7,32.6,50.0,0.32,91.40850556947296,0.1156884619629,-2.1568543734985504,0.7352787044030434,
355,SS,Ni0.05Pd0.95,,31.6,50.0,1.4,100.58488890412384,0.5221822320568746,-0.6497386484647356,,
356,SS,Pd0.95Pt0.05,0.6,33.0,30.0,0.17,94.1246705594542,0.1364868564946759,-1.99152695840954,0.66382341669062,
357,SS,Pd0.95Rh0.05,0.7,34.2,30.0,0.13,95.8527175385472,0.1035422732075764,-2.2677753128761347,0.7430085249524447,
358,SS,Sb0.05Pd0.95,0.5,34.6,100.0,0.07,70.61459481816034,0.0042336164725984,-5.46469869313132,0.5343533141899977,
359,SS,Sc0.05Pd0.95,0.5,37.4,50.0,0.04,88.97348103361803,0.0124491852465784,-4.386100100254733,0.5152089594799394,
360,SS,Pd0.96Pt0.04,0.5,37.4,80.0,0.4,98.28581996095096,0.0381571444757648,-3.266042265501641,0.5482100981095955,
361,SS,Pd0.972Ir0.028,0.5,30.7,25.0,0.1,83.82424597050999,0.1,-2.302585092994045,0.5425057629416926,
362,SS,Mo0.025Pd0.975,0.5,30.8,30.0,0.16,86.36349438206324,0.1303524201190535,-2.037513572460797,0.5292234984446039,
363,SS,Pd0.975Rh0.025,0.7,36.0,30.0,0.056,94.78833079359528,0.0440718234658712,-3.12193462440444,0.7436229824046099,
364,SS,V0.02Pd0.98,0.5,30.8,25.0,0.1,84.15964761397805,0.1,-2.302585092994045,0.5249981554598389,
365,SS,Co0.1Pd0.9,0.5,29.8,80.0,4.0,95.90927822365089,0.6151017633215567,-0.4859675560485342,0.5068563028435831,
366,SS,Ni0.05Pd0.9Rh0.05,0.6,28.4,30.0,0.7,90.71754302166664,0.5794717786286243,-0.5456383169073895,0.6219336555044553,
367,SS,Pd0.9Rh0.1,0.6,29.2,30.0,0.58,91.79300448038974,0.4775848395826602,-0.7390134603249399,0.6351714453386988,
368,SS,Ti0.23Mn0.36V0.41,2.8,34.0,40.0,4.0,120.10003747442484,2.073619215822363,0.7292954940225238,1.4767124256973019,
369,SS,Ti0.3034Mn0.26V0.4366,,52.7,25.0,0.03,147.60258620663993,0.0299999999999999,-3.5065578973199822,,
370,SS,Ti0.296Mn0.1V0.504Fe0.1,,44.7,25.0,0.03,120.7704547291957,0.0299999999999999,-3.5065578973199822,,
371,SS,Ti0.138Mn0.08V0.782,,50.6,25.0,0.06,146.32208756338792,0.06,-2.813410716760036,,
372,SS,Ti0.1045V0.8455Fe0.05,3.3,42.9,40.0,4.5,149.50018892048965,1.9642282389693584,0.6750994144681263,1.722064088891762,
373,SS,Ti0.172Mn0.14V0.688,,48.6,25.0,0.04,136.2429533162634,0.0399999999999999,-3.218875824868201,,
374,SS,Ti0.176Mn0.08V0.704Fe0.04,,48.5,25.0,0.08,141.67048754237243,0.08,-2.525728644308255,,
375,SS,Ti0.095V0.855Fe0.05,3.7,43.2,80.0,9.3,140.86831711837627,0.6162287087462747,-0.4841371039238774,1.939932366097183,
376,SS,Nb0.95Cr0.05,0.9,47.2,77.0,0.26,123.5995872039394,0.0153781976026468,-4.174804512757289,0.8186253603863342,
377,SS,Nb0.97Cr0.03,0.9,47.2,77.0,0.45,128.16045174876555,0.0266161112353503,-3.626238561008453,0.8259971133054634,
378,SS,Cu0.2Ni0.8,,5.1,25.0,3800.0,85.63707067339983,3800.000000000002,8.242756345714477,,
379,SS,Pd0.75Rh0.25,0.8,25.4,0.0,5.0,106.37032277782502,12.772030674720083,2.5472576765659123,0.8443850406426011,
380,SS,Ag0.3Pd0.7,0.3,46.0,50.0,0.002,90.67951459542884,0.0004759339191252,-7.650231538737178,0.31897615465443946,
381,SS,Ni0.1Pd0.825Rh0.075,0.7,21.4,30.0,6.3,85.89473841359334,5.463894094571971,1.6981617396816675,0.7090169554940136,
382,SS,Pd0.85Rh0.15,0.7,31.0,50.0,2.7,104.18873551349932,1.0261012345764082,0.0257664110588804,0.7405506951437841,
383,SS,Pd0.88Pt0.06Rh0.06,0.5,24.8,0.0,0.3,80.78258346905798,0.7495320031869481,-0.2883062629688917,0.5559990926856504,
384,SS,Pd0.8Rh0.2,0.8,28.4,30.0,4.8,106.72471736835598,3.973520767739135,1.3796525449451873,0.8457909306195598,
385,SS,Pd0.9Pt0.1,0.3,30.7,80.0,3.0,96.06593587398648,0.4359645041261238,-0.8301944515020464,0.3441467258919616,
386,SS,Co0.09Pd0.91,,27.2,20.0,4.0,104.31113525612504,4.823245122848408,1.5734469635250663,,
387,SS,Ni0.09Pd0.91,,29.4,50.0,6.8,106.91702070974478,2.7165752252186164,0.9993719785894402,,
388,SS,Pd0.925Rh0.075,0.7,32.4,30.0,0.3,96.86776194876444,0.2418226344905151,-1.419550736867644,0.7423940675002797,
389,SS,Pd0.927Ir0.073,0.1,17.0,25.0,0.6,52.77119393230439,0.5999999999999999,-0.5108256237659909,0.11190077081049303,
390,SS,Pd0.92Pt0.08,0.4,30.7,80.0,1.8,91.81885041672184,0.2615787024756743,-1.3410200752680372,0.45225792057117364,
391,SS,Pd0.942Ir0.058,0.4,25.9,25.0,0.35,78.14063759342592,0.3499999999999997,-1.0498221244986785,0.44382381111748576,
392,SS,Ti0.048Pd0.952,0.4,27.2,100.0,2.3,79.81787737721615,0.2534668023255709,-1.3725224218221326,0.41279983425766564,
393,SS,Bi0.05Pd0.95,0.4,37.8,100.0,0.16,86.06337174063657,0.0074653523067964,-4.897482654624173,0.4444285873653344,
394,SS,V0.855Cr0.145,2.3,29.7,50.0,50.0,124.43296404221005,19.788671159054186,2.9851096102682533,1.1932905141671133,
395,SS,Ti0.2V0.8,3.4,60.0,110.0,1.8,161.48358496246277,0.0083801381195802,-4.781890882573819,1.7572714351441063,
396,SS,Zr0.975Nb0.025,2.2,219.0,800.0,0.2,190.69100141597443,3.9111449952122187e-29,-65.41113752804844,2.0367259358668486,
397,,V75Ti17.5Zr7.5,3.2,52.98,,,145.1,0.021249848,-3.851405525,1.7520874327692513,10.1016/j.jallcom.2005.01.139
398,,LaNi4.7Sn0.3,1.5,36.51,,,112.6,0.320558835,-1.137689446,1.1340178319635807,10.1016 / S0925-8388(03)00352-9
399,,V75Ti10Zr7.5Cr7.5,3.2,42.23,,,132.3,0.343601398,-1.068273019,1.7622436212777124,10.1016/j.jallcom.2005.01.139
400,,LaNi4.8Sn0.2,1.3,32.83,,,104.3,0.518801844,-0.656233272,0.9677536261746621,10.1016/j.jallcom.2005.01.029
401,,LaNi4.8Al0.2,1.3,30.4,,,101.6,0.996152949,-0.00385447,0.9278007065328102,10.1016/S0925-8388(99)00173-5
402,,V0.85Ti0.1Fe0.05,3.4,42.9,,,148.0,1.734454519,0.550692966,1.7765676349042034,10.1016/0022-5088(87)90526-1
403,,TiFe0.9Mn0.1,,29.7,,,107.7,2.749244481,1.01132614,,10.1016/0022-5088(80)90182-4
404,,La0.85Ce0.15Ni5,,24.3,,,92.28,3.773595219,1.328028186,,
405,,V92.5Zr7.5,3.0,40.32,,,147.0,4.339950546,1.467862953,1.6557034701767306,10.1016/j.jallcom.2005.01.139
406,,La0.2Y0.8Ni4.6Mn0.4,1.3,27.1,,,105.0,5.65230817,1.732063987,0.8512310526259362,10.1016/j.ijhydene.2009.12.020
407,,Zr0.7Ti0.3Mn2,1.4,21.0,,,85.0,5.926100553,1.779366417,0.8831651923221395,10.1016/S0894-1777(98)10007-9
408,,Ti0.9Zr0.1Mn1.4Cr0.35V0.2Fe0.05,,25.89,,,106.9,11.55536386,2.447149733,,10.1007/s12598-011-0373-7
409,,La0.4Ce0.4Ca0.2Ni5,,28.2,,,115.3,12.53613086,2.528614944,,10.1016/j.matlet.2006.06.056
410,,Ti0.8Zr0.2CrMn,,24.6,,,108.6,23.81578583,3.170348631,,10.4028/www.scientific.net/MSF.31.1
411,,Zr0.8Ti0.2FeNi0.8V0.2,2.5,26.8,,,118.3,31.57636591,3.452408926,1.6580231651064985,10.1016/j.jallcom.2011.01.198
