,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,Reference
89,AB2,Zr1Al0.4Fe1.6,1.0,36.0,24.0,10.0,140.29499244596423,10.500875281684012,2.3514586138495948,0.639224972743306,
90,AB2,ZrCrFe,1.7,49.4,50.0,0.1,133.72612555083708,0.0214009528751074,-3.8443198310714446,1.1384363208943575,
91,AB2,ZrMnFe,1.6,31.0,150.0,10.0,92.40413183425557,0.2486653192057567,-1.391647386204773,1.086199536499333,
92,AB2,ZrFeMo,1.2,29.8,30.0,0.6,94.0540855801756,0.492084862510974,-0.7091040925852156,0.9760338345864661,
93,AB2,ZrVFe,1.6,48.1,50.0,0.0012,92.93095923254762,0.0002674450339042,-8.226596493474071,1.0647099625758163,
94,AB2,Zr1Mn1.11Fe1.22,1.3,29.4,30.0,2.0,102.74462810114562,1.6446542301702736,0.4975301676980253,0.8645839141808622,
95,AB2,Zr1Mn1.22Fe1.11,1.5,13.0,23.0,1.0,43.896673982779,1.0360513734668595,0.0354167308963071,0.9991697866285429,
96,AB2,Zr1Mn1.22Fe1.14,1.2,31.0,40.0,2.0,104.75702815761798,1.0986902644747123,0.0941188017358743,0.7958014416335025,
97,AB2,Zr1Mn1.2Fe0.4,1.5,33.0,50.0,0.4,94.50157179099698,0.1428165264580558,-1.9461945042740365,1.042931367490378,
98,AB2,Zr1Mn1.53Fe1.27,1.0,9.0,23.0,4.0,41.91587680415503,4.099289378437095,1.410813636355795,0.6492513872275386,
99,AB2,Zr1Mn1.8,1.6,38.8,50.0,0.1,100.92402126490174,0.0297923909389378,-3.513502255694513,1.0952593018914885,
100,AB2,ZrMn2,1.7,37.4,50.0,0.01,77.44760929446385,0.0031122963116446,-5.772394461374624,1.1500742550609033,
101,AB2,Zr1Mn2.5,1.4,32.0,50.0,0.07,76.9157097164375,0.0257851997667297,-3.657954604108421,0.9198988719050838,
102,AB2,Zr1Mn2.6Fe0.2,1.4,15.0,100.0,0.12,22.57010350904001,0.0355614117897666,-3.336494167500038,0.9090420751633986,
103,AB2,Zr1Mn2.7,1.3,33.6,100.0,3.0,99.17825539017858,0.1967651633671726,-1.6257443254437691,0.846003781544245,
104,AB2,Zr1Mn2.8,,29.9,23.0,0.3,90.95232883354998,0.3254604522221802,-1.1225143232644297,,
105,AB2,Zr1Mn2.8Fe0.4,1.2,23.0,100.0,0.12,44.00920306685858,0.0185896462924656,-3.985150504193342,0.7671092968226428,
106,AB2,Zr1Mn2Co0.8,,20.9,23.0,4.0,82.09821683454504,4.23436580898342,1.443233566945492,,
107,AB2,Zr1Mn2Cu0.8,,31.6,23.0,0.06,83.31154041900052,0.0653942583593902,-2.72732081704286,,
108,AB2,Zr1Mn2Fe0.8,,25.0,23.0,0.5,78.65374486653637,0.5352410447161273,-0.6250380826824319,,
109,AB2,Zr1Mn2Fe1.2,0.7,6.8,25.0,3.0,31.941349003168167,3.0000000000000004,1.0986122886681098,0.4464353816663736,
110,AB2,Zr1Mn2Ni0.8,,25.0,23.0,1.6,88.32436564023956,1.7127713430916074,0.538112727123249,,
111,AB2,ZrMn3,1.3,29.2,50.0,0.6,86.11342823606664,0.2411986487568453,-1.422134416313765,0.8363928880506104,
112,AB2,Zr1Mn3.8,1.2,17.0,30.0,0.7,53.11239705432372,0.6251355191411884,-0.4697868221241967,0.7530559446492835,
113,AB2,Zr1Mn1Fe0.7Co0.3,1.2,17.6,30.0,4.0,69.58293919750814,3.557970503429936,1.269190298998469,0.8150725511695907,
114,AB2,ErFe2,1.5,57.9,80.0,0.001,106.5208187557202,2.6312347942997414e-05,-10.545472225426831,1.4047467971960357,
115,AB2,GdCo2,1.5,48.0,200.0,2.0,107.21067971402388,0.0015511834166558,-6.468737144748082,1.3854463278543228,
116,AB2,GdRh2,0.9,49.0,142.0,6.0,132.92660096227476,0.0228427848457927,-3.7791199731772287,1.0903518571909085,
117,AB2,GdRu2,1.0,60.0,225.0,3.0,129.57968614827402,0.0001806068381686,-8.61918805408434,1.2004636310191865,
118,AB2,Ho0.6Zr0.4Co2,1.0,33.0,50.0,0.2,88.73863592141988,0.0714082632290278,-2.6393416848339823,0.8461405790711346,
119,AB2,Ho0.8Zr0.2Co2,1.2,25.0,50.0,0.2,63.98233079995926,0.0916601060379486,-2.3896680430400714,1.0766316673092988,
120,AB2,LaRh2,1.4,44.3,244.0,2.0,91.42473612095483,0.001033502871643,-6.874801400285063,1.618569557133198,
121,AB2,LiPd2,0.8,51.0,300.0,0.16,73.74556822996999,8.260359420329732e-06,-11.704042458020956,0.5861201783580814,
122,AB2,YMgNi4,1.05,35.8,40.0,4.0,125.84808154276269,2.002733907859158,0.6945132010585429,0.6105504498624444,
123,AB2,PrCo2,1.5,67.0,100.0,0.001,122.1202830741837,4.372165653240304e-06,-12.340252098788564,1.3031486181613083,
124,AB2,Zr0.02Ti0.98Mn1.5V0.43Cr0.05Fe0.09,1.9,27.4,20.0,9.0,111.73558259633556,10.867245898402093,2.385753301817904,1.005600858987902,
125,AB2,Zr0.15Ti0.9Mn1.6V0.2Cr0.2,2.1,15.4,25.0,7.0,67.83045947303974,7.000000000000003,1.9459101490553137,1.1529851750140938,
126,AB2,Zr0.2Ti0.9Mn1.4V0.2Cr0.4Fe0.2,2.1,25.5,25.0,3.0,94.66145633169408,3.0000000000000004,1.0986122886681098,1.163280551944367,
127,AB2,Zr0.2Ti0.9Mn1.4V0.2Cr0.4,2.1,26.7,25.0,1.9,94.88871407037534,1.8999999999999984,0.641853886172394,1.1616603443825717,
128,AB2,Zr0.2Ti0.9Mn1.6V0.2Cr0.2Fe0.2,2.1,30.0,25.0,7.0,116.79909941937548,6.9999999999999964,1.9459101490553128,1.1670748083490678,
129,AB2,Zr0.2Ti0.9Mn1.6V0.2Fe0.2Ni0.2,2.0,23.2,25.0,3.6,88.46306894424133,3.6000000000000028,1.2809338454620651,1.1185835026651356,
130,AB2,Zr0.2Ti0.9Mn1.6V0.2Ni0.2,2.1,31.7,25.0,2.7,114.5803741472122,2.700000000000002,0.993251773010284,1.1748942304524037,
131,AB2,Zr0.2Ti0.9Mn1.8V0.2Fe0.2,2.0,29.1,25.0,3.0,106.735915496544,3.0000000000000004,1.0986122886681098,1.1139755241923612,
132,AB2,Zr0.2Ti0.9Mn1.8V0.2,2.1,26.0,25.0,3.0,96.33846454903434,3.0000000000000004,1.0986122886681098,1.1697384386635477,
133,AB2,Zr0.3Ti0.9Mn1.3V0.2Cr0.2Cu0.05Mo0.05,2.0,15.2,20.0,0.06,28.459444404507384,0.0666150041717367,-2.7088254389453787,1.1501780214069752,
134,AB2,Zr0.1Ti0.9Mn1V0.1Cr0.9,1.7,22.5,30.0,24.0,100.6435276863539,20.663046935398054,3.0283469327495385,0.9094869208421473,
135,AB2,Ti1.2Mn0.1Cr1.9,1.8,20.1,-10.0,19.4,101.0360432184616,57.03937805113844,4.0437418723148,0.9190359194291898,
136,AB2,Ti1.2Mn1Cr1,2.0,25.5,-10.0,5.7,111.37341959895838,22.39130848118285,3.108672869331085,1.0399871499939262,
137,AB2,Ti1Cr1.8,1.9,19.7,-32.0,20.0,106.59888745640713,130.8676826935899,4.874186756976944,0.9707326172908851,
138,AB2,TiCr2,1.8,29.7,-40.0,2.0,133.14873900060863,56.45335214351638,4.033414671357247,0.9204926777228204,
139,AB2,TiMnCr,,24.0,0.0,18.0,111.89482145706435,43.66298285551212,3.776500668886852,,
140,AB2,Ti1Mn0.85V0.15Cr1Fe0.3,1.6,20.9,20.0,6.0,86.1915322163548,6.927951884951252,1.9355642262232076,0.835665810495587,
141,AB2,Ti1Mn1.3Fe0.11,1.7,32.7,24.0,6.0,124.9424047171196,6.27236149268651,1.8361529173385125,0.892929565715698,
142,AB2,Ti1Mn1.4Ni0.1,,28.0,0.0,2.0,108.27071547785094,5.623556221337437,1.726964243382416,,
143,AB2,Ti1Mn1.5,1.9,27.9,0.0,1.8,107.02863218546308,5.042548070797965,1.617911523928795,1.0012488400643982,
144,AB2,TiMn2,1.7,24.6,0.0,20.0,114.96740081388567,49.60116926377468,3.904014407319448,0.9021192716659401,
145,AB2,Zr0.79Ti0.21Mn1Fe1.02,1.5,33.0,30.0,1.5,112.22810286217714,1.2042957926000797,0.1858949916304983,0.9705809419357214,
