Composition_Formula Ef
Dy3H 0.626150424454
DyH2 -0.691698807012
DyH3 -0.605387318721
Dy2H 0.641351233161
HoH -0.403278792759
Ho3H 0.631044011954
HoH2 -0.693770659234
HoH3 -0.607169862888
Ho2H 0.635178248716
ErH -0.449823628592
Er3H 0.636482909454
ErH2 -0.694150861456
ErH3 -0.607723186638
Er2H 0.630137735939
TmH -0.410072926092
Tm3H 0.643014729454
TmH2 -0.691521771456
TmH3 -0.606512791221
Tm2H 0.625727157605
YbH -0.257502016092
Yb3H 0.398051156954
YbH2 -0.615621346456
YbH3 -0.136172241638
Yb3H8 -0.347081111892
LuH -0.410062883592
Lu3H 0.654512038204
LuH2 -0.681496533123
LuH3 -0.509246097888
Lu2H 0.618977060939
HfH -0.316602423592
Hf3H 0.365349909454
HfH2 -0.486180246456
HfH3 -0.226611800388
TaH -0.0499513160921
Ta2H -0.154297134061
Ta3H 0.871260105704
TaH2 -0.0980929047895
TaH3 0.0800947033619
HW 0.240410288908
HW3 1.07949786695
H3W 0.370453852112
H2W 1.60301978188
HW2 2.08519750427
ReH 0.232204731408
Re3H 0.810415940704
ReH3 0.495270534612
ReH2 1.66269173021
Re2H 2.17045625094
HOs 0.470083008908
HOs3 0.933782454454
H3Os 0.477381225862
H2Os 0.626217098544
HIr 0.429052623908
HIr3 0.674588534454
H3Ir 0.370200218362
H2Ir 0.423785320211
HIr2 1.55659672094
HPt 0.129131638908
HPt3 0.537375511954
H3Pt 0.506328885862
H2Pt 0.227538760211
HPt2 0.768820794272
HAu 0.364327738908
HAu3 0.458169989454
H3Au 0.704601569612
HAu2 0.557938532605
H2Au 0.485593678544
HgH 0.565461171425
Hg3H 0.463285123229
HgH3 0.82116227962
HgH2 0.440867045222
Hg2H 0.505789887628
TlH 0.445672981408
Tl3H 0.454343415704
TlH3 0.725052087112
HPb 0.471230033908
H3Pb 0.771277560862
HPb3 0.444930271954
H2Pb 0.497090775211
HPb2 0.778849750939
BiH 0.624127061408
Bi3H 0.471127310704
BiH3 0.752368479612
Bi2H 0.378507892605
BiH2 0.683196611877
AcH -0.343613179842
Ac3H 0.227013161329
AcH2 -0.568285373956
AcH3 -0.547239946013
Ac2H 0.569939095939
ThH -0.261566766092
Th3H 0.354303069454
Th4H15 -0.468225120145
ThH2 -0.484355074789
ThH3 -0.423330734138
Th2H 1.04442667594
PaH -0.132856166092
Pa3H 0.525104741954
PaH3 -0.362464482888
Pa2H 1.48766976761
UH -0.00223776359209
U3H 0.399477143204
UH3 -0.265673788201
U2H 1.63186293761
NpH 0.100908044533
NpH2 -0.117756274373
NpH3 -0.219859696326
Np3H 0.355731847891
PuH -0.171393891092
Pu3H 0.377233469454
PuH2 -0.339902574789
PuH3 -0.363236219138
Pu2H 0.959557782605
BeAlH5 -0.00864590084584
BeGaH5 0.0815821702256
Na2BeH4 -0.255761580063
KBeH3 -0.0996233273105
LiBeH3 -0.221694500811
Li2BeH4 -0.299368425355
RbBeH3 -0.0886223718105
CsBeH3 -0.108767008311
CsCaH3 -0.393759575311
CsMgH3 -0.237981326477
CsGaH4 -0.205536313539
Cs2CaH4 -0.335239635534
Cs2MgH4 -0.227471496843
Cs2H4Pd -0.282480701962
Cs2H4Pt -0.401146566962
Cs2ZnH4 -0.243140438034
Cs2H6Pt -0.389186523678
Cs3CdH5 -0.171458206769
Cs3MgH5 -0.215191387232
Cs3MnH5 -0.088911352746
Cs3H5Pd -0.246263971769
Cs3H5Pt -0.334176323991
Cs3ZnH5 -0.221778328991
Cs4Mg3H10 -0.243206383785
LiEuH3 -0.587086791311
EuH3Pd -0.632647953311
EuMgH4 -0.435687398817
EuMg2H6 -0.372954219049
Eu2Mg3H10 -0.382371465956
Eu2H4Pd -0.660886857677
Eu2FeH6 -0.609807610345
Eu2MgH6 -0.518556215808
Eu2H6Ru -0.672979814789
Eu6Mg7H26 -0.413146850537
Ba9In4H -0.325398495156
Ca5Sn3H -0.700022556971
Mg16Al12H 0.0101916107293
Mg17Al11H 0.0147295445511
LiHPd -0.156939274061
Ti2HPd -0.485274591189
Ti3SnH -0.453212948079
TlHPd3 -0.262140061437
Ba2Mg3H10 -0.357968302623
Rb4Mg3H10 -0.235116268197
Sr2Mg3H10 -0.343390583623
Th8Al4H11 -0.438985329016
Ca4H12Rh3 -0.592828088222
LaFe5H12 -0.0667774281228
Ba3H12Ir2 -0.549668913895
Ca4Mg3H14 -0.40510708848
Yb4Mg3H14 -0.430004092766
MgTi7H16 -0.441032254192
Mg6NbH16 -0.0553058069542
Mg6TiH16 -0.0734255219014
Mg6VH16 -0.0708896052151
Mg7NbH16 -0.13127309788
Mg7TiH16 -0.135595194704
Mg7VH16 -0.0999774912131
Ba7Cu3H17 -0.40127630156
BaGa2H2 -0.435898386874
Ba5Ga6H2 -0.478387574567
Ca3SnH2 -0.66066843687
TiFeH2 -0.290405074539
Zr3FeH2 -0.346888534061
LaFe5H2 -0.039673973046
Hf2H2Pd -0.535946636874
Li2H2Pd -0.435876152874
Ti2H2Pd -0.502025818388
Li2H2Pt -0.497747264874
RbGaH2 -0.218589064842
Zr2H2Pd -0.545833548874
Ba6Mg7H26 -0.378608667973
Ti3H3Au -0.467485318273
BaLiH3 -0.509957339311
LiCaH3 -0.484671083977
RbCaH3 -0.385574165311
ZrCoH3 -0.399388693311
KCaH3 -0.383503298811
KMgH3 -0.259365366144
K3H3Pd -0.229828998972
LiMgH3 -0.266052648144
NaMgH3 -0.230435252314
RbMgH3 -0.235118395144
Nd2Fe17H3 -0.0272405934797
Ti2H3Pd -0.432143935688
Ti4H3Pd2 -0.3877976213
Zr2H3Pd -0.339409251092
LiAlH4 -0.137884686873
Th2AlH4 -0.452926093391
BaGaH4 -0.115496087289
Ba2H4Pd -0.518577991248
CaGaH4 -0.128910748956
Rb2CaH4 -0.324359004105
ThCoH4 -0.393794569789
LaCo5H4 -0.108654512874
LiGaH4 -0.0923812664561
HfV2H4 -0.301065454105
KAlH4 -0.195996085206
KGaH4 -0.178224903539
K2MgH4 -0.253903635415
K2H4Pd -0.293785951248
K2H4Pt -0.410203832677
K2ZnH4 -0.234425861605
BaMgH4 -0.385216267151
MgGaH4 0.165245040349
Li2MgH4 -0.294234043272
Rb2MgH4 -0.225329721129
MgTiH4 -0.276712623615
Mg2NiH4 -0.249080379224
Mg2H4Ru -0.333807673867
Ti2H4Pd -0.378533059473
RbGaH4 -0.187625057706
Rb2H4Pd -0.27653941982
Rb2H4Pt -0.395157139105
Li3H4Rh -0.412535036092
Li4H4Rh -0.41195005986
Rb2ZnH4 -0.22990083732
ZrTi2H4 -0.484257168758
BaAlH5 -0.328701247274
CaAlH5 -0.289456336024
Zr2CoH5 -0.430157622928
Zr2FeH5 -0.407423192615
K3MnH5 -0.0827774999682
K3H5Pd -0.263362976213
K3H5Pt -0.353129705102
K3ZnH5 -0.226194805658
MgAlH5 -0.0728292007268
Rb3MgH5 -0.198924665288
Mg2CoH5 -0.263044743657
Rb3MnH5 -0.0741529438571
Rb3H5Pd -0.243101260102
Rb3H5Pt -0.33126081288
Li4H5Rh -0.353119155092
Rb3ZnH5 -0.213409702325
Ca19Mg8H54 -0.458370409152
CeAlH6 -0.283279018826
LaAlH6 -0.336264570388
Li3AlH6 -0.271945914811
Ba2H6Pt -0.544600713678
Ca2FeH6 -0.541849878123
Ca2H6Os -0.607193125901
Li3H6Ir -0.454087328811
K2H6Pt -0.398162457012
K3AlH6 -0.209469301811
Ba2MgH6 -0.436907013586
Mg2FeH6 -0.290243864604
Mg2H6Os -0.332334775715
NdAlH6 -0.283462317263
Ba2H6Os -0.522367335901
Li4H6Os -0.403223229373
Li2H6Pt -0.358536684789
Rb2H6Pt -0.386382840345
Li3H6Rh -0.404424283811
ThTi2H6 -0.343835163964
Ba2AlH7 -0.410152344529
LaFe5H7 -0.0968451530992
CeMg2H7 -0.308103070862
LaMg2H7 -0.344901345612
Mg3MnH7 -0.249336280144
Mg3ReH7 -0.247674566163
Mg3TcH7 -0.285676104799
ThZr2H7 -0.442309129029
CaAl2H8 -0.153137447157
MgAl2H8 -0.0174924351491
MgTi3H8 -0.393006760667
Mg3TiH8 -0.170628089063
Li5H9Pt2 -0.421284274666
NaAlH4 -0.149002699098
NaBeH3 -0.0695132534808
NaCaH3 -0.374735584481
NaGaH4 -0.116170198265
NaH2Pd3 -0.203538567537
Na2H2Pd -0.308256691214
Na2H4Pd -0.278768015777
Na2H4Pt -0.395799690063
Na2H6Pt -0.374825017201
Na3AlH6 -0.206073236566
Na3H6Ir -0.402316443066
Na3H6Rh -0.354986942566
Na4H6Ru -0.296730717865
Na5Al3H14 -0.166474023856
CaNiH3 -0.474064239311
Ti2NiH -0.337786498064
ZrNiH -0.441729049061
ZrNiH3 -0.439906325311
ThNi2H2 -0.397465130874
Zr4Ni2H9 -0.453245361644
LaNi5H7 -0.234635297715
Ca3H2Pb -0.602469484895
PrCo5H4 -0.0496482486237
PrAlH6 -0.284022337576
BaReH7 -0.120587530588
BaReH9 -0.266619059514
