Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
,AlCoCrCu0.5Fe0.5Ni,AC,SS,BCC+FCC,6,2,,[2],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+B2,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.5FeNi,AC,SS+IM,BCC+B2,6,2,H,[17],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+B2,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.5FeNi1.5,AC,SS,BCC+FCC,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.5FeNi2,AC,SS,BCC+FCC,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.5FeNi2.5,AC,SS+IM,BCC+L12,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.5FeNi3,AC,IM,L12,6,1,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.5Fe1.5Ni,AC,SS+IM,FCC+B2,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCu0.5Fe2Ni,AC,SS+IM,FCC+B2,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFe0.5Ni,AC,SS+IM,BCC+FCC+B2,6,3,H,[17],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeNi0.5,AC,SS+IM,BCC+FCC+B2,6,3,H,[17],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+FCC+B2,6,3,H,[10],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,"H, W",[14],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,H,[25],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,H,[1],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+FCC+B2,6,3,H,[17],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,M,[4],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,M,[4],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,M,[26],3d_Transition_Metal_Alloy_Family
,,AC+500C/5h,SS,BCC+FCC,6,2,M,[26],3d_Transition_Metal_Alloy_Family
,,AC+600C/5h,SS,BCC+FCC,6,2,M,[26],3d_Transition_Metal_Alloy_Family
,,AC+645C/5h,SS,BCC+FCC,6,2,M,[26],3d_Transition_Metal_Alloy_Family
,,AC+700C/5h,SS,BCC+FCC,6,2,M,[26],3d_Transition_Metal_Alloy_Family
,,AC+800C/5h,SS,BCC+FCC,6,2,M,[26],3d_Transition_Metal_Alloy_Family
,,AC+900C/5h,SS,BCC+FCC,6,2,M,[26],3d_Transition_Metal_Alloy_Family
,,AC+1000C/5h,SS,BCC+FCC,6,2,M,[26],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,M,[6],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+B2,6,2,"H, M, MAG",[27],3d_Transition_Metal_Alloy_Family
,,AC+1000C/2h,SS+IM,2FCC+B2,6,3,"H, M, MAG",[27],3d_Transition_Metal_Alloy_Family
,,SQ,IM,B2,6,1,H,[28],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,BCC+2B2+2L12,6,5,H,[28],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+B2,6,2,"MAG, VIB",[29],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+2FCC,6,3,"H, MT",[30],3d_Transition_Metal_Alloy_Family
,,AC+960C/50h+FOR/950C(1000%),SS+IM,BCC+2FCC+s,6,4,"H, MT",[30],3d_Transition_Metal_Alloy_Family
,,AC,SS,BCC+FCC,6,2,"H, M",[31],3d_Transition_Metal_Alloy_Family
,AlCoCr1.5Cu0.5FeNi,AC,SS,BCC+FCC,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCoCr2Cu0.5FeNi,AC,SS+IM,FCC+B2,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCo1.5CrCu0.5FeNi,AC,SS+IM,FCC+B2,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCo2CrCu0.5FeNi,AC,SS,BCC+FCC,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCo3CrCu0.5FeNi,AC,SS,BCC+FCC,6,2,,[2],3d_Transition_Metal_Alloy_Family
,AlCo3.5CrCu0.5FeNi,AC,SS,FCC,6,1,,[2],3d_Transition_Metal_Alloy_Family
,Al1.3CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
